ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Sum
2025-07-01 18:20:21.148,-1.168370485305786,-5.355829238891602,8.772355079650879,-0.5619960427284241,-0.8087855577468872,-0.3335324227809906,-4449,-7023,2606,-777,-199,-351,8
2025-07-01 18:20:21.350,-0.2466027736663818,-5.485116004943848,8.432378768920898,0.5925393104553223,-0.5619960427284241,-0.3909537494182586,-4364,-6814,2488,113,542,289,8
2025-07-01 18:20:21.643,-0.6200982332229614,-4.07014274597168,8.789113998413086,-0.1991420686244964,0.0415388382971286,-0.0146607663482427,-4446,-6940,2679,314,265,-537,8
2025-07-01 18:20:21.840,-0.6655880808830261,-4.034229755401611,8.853757858276367,0.0342084541916847,0.0244346093386411,0.0036651915870606,-4076,-6880,2492,-277,131,555,8
2025-07-01 18:20:22.144,-0.5650315880775452,-3.943250179290772,8.786720275878906,0.0305432621389627,0.0109955742955207,0.0036651915870606,-4611,-6958,2284,-197,-305,198,8
2025-07-01 18:20:22.258,-0.7445967197418213,-4.003105163574219,8.89685344696045,0.0232128798961639,-0.058643065392971,-0.0256563406437635,-4503,-6556,2297,-212,-352,458,8
2025-07-01 18:20:22.350,-0.6153098344802856,-4.074931144714356,8.822632789611816,-0.0158824957907199,-0.0219911485910415,-0.0122173046693205,-4534,-6568,2393,-180,-61,-128,8
2025-07-01 18:20:22.548,-0.5554547905921936,-4.14915132522583,8.707711219787598,-0.0122173046693205,-0.1123992055654525,-0.0366519130766391,-4897,-6760,2028,-316,-8,263,8
2025-07-01 18:20:22.650,-0.569819986820221,-3.852270603179932,8.707711219787598,0.0403171069920063,-0.0012217304902151,0.0073303831741213,-4951,-6586,2320,-277,207,167,8
2025-07-01 18:20:22.765,-0.42377370595932,-3.9863457679748535,8.738836288452148,-0.0073303831741213,-0.0623082555830478,-0.0280998013913631,-4991,-6779,2039,104,335,307,8
2025-07-01 18:20:23.145,-0.6177040338516235,-3.964797973632813,8.851364135742188,-0.1233947798609733,0.0354301854968071,0.0109955742955207,-5201,-6720,1962,-38,867,241,8
2025-07-01 18:20:23.440,-0.7374141216278076,-4.084507942199707,8.793902397155762,0.0806342139840126,0.0207694191485643,0.0305432621389627,-5408,-6464,2141,-321,39,-229,8
2025-07-01 18:20:23.641,-0.6919242739677429,-3.83072280883789,8.767566680908203,0.0549778714776039,-0.0256563406437635,-0.0012217304902151,-5174,-6674,1992,-325,-538,-632,8
2025-07-01 18:20:23.746,-0.7805097699165344,-4.039018154144287,8.746018409729004,0.0012217304902151,0.0867428630590438,0.0403171069920063,-4827,-6758,2333,-113,-230,-635,8
2025-07-01 18:20:23.946,-0.7086837291717529,-3.3925838470458984,8.365341186523438,-0.0280998013913631,0.1918116807937622,0.0207694191485643,-4750,-6733,2361,-96,84,-316,8
2025-07-01 18:20:24.041,-0.7086837291717529,-3.3925838470458984,8.365341186523438,-0.0280998013913631,0.1918116807937622,0.0207694191485643,-4965,-6726,2347,125,-72,12,8
2025-07-01 18:20:24.241,-2.499546527862549,-5.78678560256958,8.803479194641113,-0.2528982162475586,0.5143485069274902,0.7305948138237,-4828,-6683,1949,17,144,-8,8
2025-07-01 18:20:24.343,-3.5051112174987797,-5.171475887298584,7.785943984985352,-0.432492583990097,0.6389650702476501,1.2009611129760742,-5133,-6398,1921,-62,267,87,8
